stato,age,height,weight,gp,min,usg_pct,pace,poss,fga_pg,drives,dist_miles,avg_speed,pull_up_fga,avg_sec_per_touch,avg_drib_per_touch,post_touches,paint_touches
infortunato,27.0,80,235,61,30.1,0.206,100.06,3828,11.0,3.2,2.14,3.99,1.6,2.94,2.11,2.1,6.8
infortunato,23.0,77,215,66,24.6,0.17,101.82,3441,8.0,3.9,1.92,4.38,1.1,1.67,0.8,0.0,1.1
infortunato,23.0,75,181,62,35.0,0.247,99.22,4485,16.9,8.8,2.58,4.13,7.4,4.78,4.18,0.0,0.6
infortunato,26.0,82,240,42,26.3,0.142,100.08,2300,5.6,3.5,1.84,3.93,0.4,3.42,2.35,1.1,4.0
infortunato,26.0,82,240,42,26.3,0.142,100.08,2300,5.6,3.5,1.84,3.93,0.4,3.42,2.35,1.1,4.0
infortunato,33.0,79,226,59,32.1,0.251,101.18,3988,14.9,8.9,2.34,4.1,5.5,2.97,2.15,1.0,0.8
infortunato,25.0,80,190,36,33.2,0.306,98.98,2461,18.1,13.5,2.3,3.87,9.2,4.01,3.03,1.7,0.9
infortunato,27.0,77,205,63,29.7,0.143,98.27,3818,7.9,3.2,2.43,4.58,1.4,2.45,1.56,0.1,2.3
infortunato,27.0,77,205,63,29.7,0.143,98.27,3818,7.9,3.2,2.43,4.58,1.4,2.45,1.56,0.1,2.3
infortunato,27.0,80,210,34,28.0,0.203,99.53,1972,11.1,4.1,2.09,4.2,2.5,2.17,1.58,0.0,1.1
infortunato,28.0,78,205,69,30.0,0.186,97.53,4197,10.1,9.7,2.2,4.08,3.2,3.61,3.03,0.0,1.1
infortunato,25.0,77,190,46,19.5,0.181,102.61,1920,7.2,4.0,1.61,4.54,3.0,2.2,1.55,0.0,0.5
infortunato,27.0,81,214,61,26.7,0.261,97.1,3296,11.9,3.8,1.84,3.86,1.6,2.27,1.04,2.1,4.3
infortunato,27.0,76,193,65,32.5,0.229,101.13,4457,13.5,7.4,2.38,4.1,6.2,4.08,3.43,0.2,0.8
infortunato,23.0,79,204,27,9.3,0.22,101.27,532,4.1,1.9,0.76,4.56,1.1,3.81,2.89,0.0,0.7
infortunato,22.0,81,216,40,14.5,0.16,101.87,1223,4.2,2.1,1.11,4.32,0.3,2.01,1.15,0.2,1.9
infortunato,25.0,80,221,63,31.9,0.193,102.68,4304,12.2,5.6,2.3,4.05,3.9,2.23,1.39,0.5,1.2
infortunato,22.0,81,210,72,26.2,0.16,99.74,3906,7.3,4.5,1.95,4.16,0.7,2.77,2.01,0.1,1.9
infortunato,25.0,74,205,53,25.7,0.173,102.18,2903,8.3,9.1,1.95,4.24,2.3,4.22,3.84,0.1,0.9
infortunato,22.0,77,200,37,31.1,0.241,103.48,2483,15.8,9.0,2.49,4.46,7.0,3.44,2.53,0.0,0.6
infortunato,22.0,77,200,37,31.1,0.241,103.48,2483,15.8,9.0,2.49,4.46,7.0,3.44,2.53,0.0,0.6
infortunato,26.0,73,215,63,35.5,0.308,96.83,4529,20.3,12.5,2.37,3.73,9.5,4.98,4.48,0.0,1.1
infortunato,31.0,78,225,61,20.6,0.182,104.35,2754,8.0,2.7,1.68,4.54,1.6,1.66,0.79,0.0,0.9
infortunato,24.0,76,200,44,11.8,0.124,100.66,1070,2.5,1.8,0.86,4.05,0.5,3.07,2.52,0.0,0.2
infortunato,25.0,79,202,31,9.1,0.178,102.38,597,2.8,1.9,0.7,4.26,0.8,2.78,2.16,0.0,0.3
infortunato,36.0,76,190,51,15.4,0.196,103.03,1694,5.9,4.8,1.19,4.28,2.3,4.19,3.65,0.1,0.2
infortunato,21.0,81,205,56,15.7,0.164,103.95,1906,4.8,0.3,1.2,4.29,0.2,1.35,0.4,0.3,5.2
infortunato,24.0,78,232,47,22.6,0.117,99.53,2196,5.4,1.5,1.73,4.3,1.1,1.91,0.89,0.1,0.5
infortunato,25.0,80,230,42,11.3,0.173,104.03,1025,3.7,1.7,0.9,4.45,0.6,1.99,0.99,0.2,0.9
infortunato,28.0,77,250,53,15.3,0.117,101.71,1712,3.8,1.0,1.19,4.28,0.3,1.49,0.69,0.0,0.7
infortunato,23.0,74,174,55,32.1,0.341,102.22,3757,20.3,20.8,2.33,4.05,7.3,5.9,5.13,0.1,1.5
infortunato,23.0,74,174,55,32.1,0.341,102.22,3757,20.3,20.8,2.33,4.05,7.3,5.9,5.13,0.1,1.5
